name,Latitude,longitude
덕남마을 산책로,35.166622693316,128.161152360212
남강댐 노을공원,35.1617049807277,128.032023977969
강주연못,35.1131668686572,128.094820541232
영천강 뚝방길,35.0982254817605,128.190262414762
월정소류지,35.1966294662302,128.205855222707
반성역 폐역 자전거도로,35.1695487573093,128.277008235925
경상남도 수목원,35.161869243126,128.297351246689
금호지공원,35.2076612466269,128.153526578719
응석 저수지,35.2908951571911,128.061963928618
동향 저수지,35.3006203559566,128.096240536844
나불천 자전거도로,35.2134515015288,128.045414915026
청동기문화 박물관,35.2243843708131,127.961966589126
원당 솔밭,35.167616249223,127.953465216297
망경동 녹지공원,35.1861781442604,128.080150798524
칠암동 남강둔치,35.1863157873662,128.093516098311
주약동 남강둔치,35.1735010044988,128.096366941962
진주성,35.1905023950471,128.081434624282
옥봉동 남강둔치,35.1898545758546,128.092555855828
상대배수장,35.1869679265225,128.110103500649
하대동 남강둔치,35.191745300712,128.128710966819
송림공원,35.175589314226,128.108004949119
초전공원,35.2076543096974,128.125556185952
평거동 남강둔치,35.1729674963795,128.069637950671
신안평거 녹지공원,35.173469734161,128.068787014684
평거동 습지원,35.1599940475158,128.048083322416
진양호 호반 전망대,35.1760664258685,128.032405581835
새벼리 자전거도로,35.1666558773778,128.108961804902
가좌천 가로수길,35.1570343700393,128.10728871822
진치령터널 자전거도로,35.1576333708979,128.102159679935
물초울공원,35.1826325298967,128.144158943726
바람모아공원,35.1716126479087,128.129921273813
이성자 미술관,35.1759356616275,128.143058050474